imputacao,link,tcp,modelo,RMSE,MAE,NRMSE
svd,ba-pe,bbr,LSTM,601.6819711779757,456.8391536909302,0.18210638724404424
svd,ce-am,bbr,bi-LSTM,78.85495190345975,49.216415023797175,0.10959371049527986
svd,ce-am,bbr,GRU,79.79535826948744,53.04124560673641,0.11090070036133841
svd,ce-am,bbr,LSTM,80.87031814114364,54.0882949695788,0.11239469456366274
svd,ce-ro,bbr,bi-LSTM,13.369320599494259,7.765039983276707,0.12068430884243768
svd,ce-ro,bbr,GRU,13.17257980078025,7.48957816036709,0.1189083377198058
svd,ce-ro,bbr,LSTM,13.330298779577596,7.782206836949122,0.12033206047414029
svd,es-pr,bbr,bi-LSTM,13.408660430194136,8.13245677483214,0.11991297892822908
svd,es-pr,bbr,GRU,12.998391436541384,7.864711919007814,0.11624396385793873
svd,es-pr,bbr,LSTM,13.347177145002103,8.119625467146946,0.11936313698689179
svd,go-se,bbr,bi-LSTM,10.200721283113554,6.638429722309175,0.12027925693184367
svd,go-se,bbr,GRU,9.998446570522157,6.5122203492805175,0.11789418518531229
svd,go-se,bbr,LSTM,10.30050201574694,6.798895695272897,0.12145579651607152
svd,ma-rj,bbr,bi-LSTM,41.79700074562908,25.977322294199645,0.13800694188287338
svd,ma-rj,bbr,GRU,41.21067564563288,25.361556569044154,0.13607099115540147
svd,ma-rj,bbr,LSTM,41.17108702891251,25.807584090937272,0.13594027594068542
svd,pb-ac,bbr,bi-LSTM,71.43788337194057,62.372992204265145,0.22864711864844514
svd,pb-ac,bbr,GRU,73.80751611279608,65.84495838093031,0.2362314656766277
svd,pb-ac,bbr,LSTM,75.09111483774127,66.81613215853066,0.24033980618318326
svd,pb-es,bbr,bi-LSTM,28.56806871859478,15.738244169752605,0.12531869419004524
svd,pb-es,bbr,GRU,27.668146820912995,14.936245911517657,0.12137103366733364
svd,pb-es,bbr,LSTM,28.059433809463915,15.352644736456732,0.1230874806187105
svd,pr-pa,bbr,bi-LSTM,15.475564857976096,9.538357804268946,0.15337649252713417
svd,pr-pa,bbr,GRU,15.3435500684767,9.35891279829635,0.15206810956593395
svd,pr-pa,bbr,LSTM,15.56582122824142,9.63115899405683,0.15427101273538305
svd,rj-am,bbr,bi-LSTM,45.62903733042369,28.811568696017385,0.13898422226662388
svd,rj-am,bbr,GRU,43.90242589241424,27.444124965867275,0.13372503290151325
svd,rj-am,bbr,LSTM,45.02356613396446,29.380672396036587,0.13713998122477705
svd,rj-go,bbr,bi-LSTM,66.73530832919164,37.56985708928541,0.14582114342531827
svd,rj-go,bbr,GRU,68.31772672104809,38.012202210967075,0.14927883418984605
svd,rj-go,bbr,LSTM,69.48676941095874,39.10451928296113,0.15183327120413065
svd,ro-se,bbr,bi-LSTM,8.465586002239595,5.492066788051059,0.13125585235750595
